task_id,developer,task_name,source_branch,in_intermediate_readme,intermediate_readme_verdict,canonical_rule_code,canonical_verdict,resolved_verdict,resolution_rule
jl/customer-feedback-processor,jl,customer-feedback-processor,jl_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junteng/customer-portal,junteng,customer-portal,junteng_dev,NO,absent,E2,DROP,DROP,both_sources_agree
ruige/data-analytics,ruige,data-analytics,ruige,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
yuzhen/data-validator,yuzhen,data-validator,yuzhen-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lueyang/deal-manager,lueyang,deal-manager,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/deployment-tool,xiaochen,deployment-tool,xiaochen_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
fan/discount-calculator,fan,discount-calculator,fan-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
wenshuo/document-parser,wenshuo,document-parser,wenshuo-dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
lueyang/email-campaign,lueyang,email-campaign,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
jl/email-classification-system,jl,email-classification-system,jl_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/error-tracker,xiaochen,error-tracker,xiaochen_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
ruige/expense-tracker,ruige,expense-tracker,ruige,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/feedback-collector,lv,feedback-collector,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
ruige/file-manager,ruige,file-manager,ruige,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lueyang/follow-up-reminder,lueyang,follow-up-reminder,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
yuzhen/form-builder,yuzhen,form-builder,yuzhen-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
xiaochen/health-monitor,xiaochen,health-monitor,xiaochen_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junteng/help-desk,junteng,help-desk,junteng_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
wenshuo/image-processor,wenshuo,image-processor,wenshuo-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/insights-engine,lv,insights-engine,lv,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
jl/inventory-management,jl,inventory-management,jl_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junteng/inventory-tracker,junteng,inventory-tracker,junteng_dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuzhen/invoice-generator,yuzhen,invoice-generator,yuzhen-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lueyang/lead-tracker,lueyang,lead-tracker,lueyang-dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
zhaochen/load-balancer,zhaochen,load-balancer,zhaochen,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junxian/location-tracker,junxian,location-tracker,junxian_dev,NO,absent,E2,DROP,DROP,both_sources_agree
ruige/log-analyzer,ruige,log-analyzer,ruige,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
fan/loyalty-program,fan,loyalty-program,fan-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
zhaochen/markdown-converter,zhaochen,markdown-converter,zhaochen,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
haoze/media-organizer,haoze,media-organizer,haoze,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/migration-script,xiaochen,migration-script,xiaochen_dev,NO,absent,E2,DROP,DROP,both_sources_agree
xiaochen/monitoring-agent,xiaochen,monitoring-agent,xiaochen_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
jl/monthly-sales-analysis,jl,monthly-sales-analysis,jl_dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuxuan/network-analyzer,yuxuan,network-analyzer,yuxuan-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junteng/order-processor,junteng,order-processor,junteng_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
yuzhen/payment-processor,yuzhen,payment-processor,yuzhen-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
ruige/pdf-processor,ruige,pdf-processor,ruige,NO,absent,E2,DROP,DROP,both_sources_agree
jl/pdf-report-generator,jl,pdf-report-generator,jl_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
wenshuo/performance-monitor,wenshuo,performance-monitor,wenshuo-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuzhen/permission-manager,yuzhen,permission-manager,yuzhen-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/personalization-service,lv,personalization-service,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
haoze/photo-editor,haoze,photo-editor,haoze,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
fan/price-tracker,fan,price-tracker,fan-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
junteng/product-catalog,junteng,product-catalog,junteng_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
fan/product-comparator,fan,product-comparator,fan-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
zhaochen/proxy-server,zhaochen,proxy-server,zhaochen,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
junxian/qr-generator,junxian,qr-generator,junxian_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
yuxuan/queue-manager,yuxuan,queue-manager,yuxuan-dev,NO,absent,E2,DROP,DROP,both_sources_agree
lv/recommendation-engine,lv,recommendation-engine,lv,NO,absent,E2,DROP,DROP,both_sources_agree
junteng/reminder-service,junteng,reminder-service,junteng_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
ruige/report-generator,ruige,report-generator,ruige,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuzhen/resource-monitor,yuzhen,resource-monitor,yuzhen-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
fan/review-aggregator,fan,review-aggregator,fan-dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
gyy/robots-handler,gyy,robots-handler,gyy,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
lueyang/sales-pipeline,lueyang,sales-pipeline,lueyang-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
wenshuo/scheduler,wenshuo,scheduler,wenshuo-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
wenshuo/search-engine,wenshuo,search-engine,wenshuo-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/security-scanner,xiaochen,security-scanner,xiaochen_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
lv/sentiment-analyzer,lv,sentiment-analyzer,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
gyy/seo-optimizer,gyy,seo-optimizer,gyy,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
yuzhen/session-handler,yuzhen,session-handler,yuzhen-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
junteng/shipment-tracker,junteng,shipment-tracker,junteng_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
fan/shopping-cart,fan,shopping-cart,fan-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
gyy/sitemap-generator,gyy,sitemap-generator,gyy,NO,absent,E2,DROP,DROP,both_sources_agree
junxian/social-connector,junxian,social-connector,junxian_dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
gyy/social-publisher,gyy,social-publisher,gyy,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
xiaochen/status-checker,xiaochen,status-checker,xiaochen_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
zhaochen/storage-manager,zhaochen,storage-manager,zhaochen,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
haoze/streaming-service,haoze,streaming-service,haoze,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
haoze/subtitle-generator,haoze,subtitle-generator,haoze,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
lv/survey-builder,lv,survey-builder,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
yuxuan/sync-service,yuxuan,sync-service,yuxuan-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
gyy/tag-manager,gyy,tag-manager,gyy,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
yuxuan/task-scheduler,yuxuan,task-scheduler,yuxuan-dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
zhaochen/template-engine,zhaochen,template-engine,zhaochen,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lueyang/territory-manager,lueyang,territory-manager,lueyang-dev,YES,KEEP,E0,KEEP,KEEP,both_sources_agree
xiaochen/test-generator,xiaochen,test-generator,xiaochen_dev,NO,absent,E2,DROP,DROP,both_sources_agree
haoze/thumbnail-creator,haoze,thumbnail-creator,haoze,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
junxian/translation-api,junxian,translation-api,junxian_dev,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junxian/url-shortener,junxian,url-shortener,junxian_dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
haoze/video-trimmer,haoze,video-trimmer,haoze,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
lv/voice-processor,lv,voice-processor,lv,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
junxian/weather-service,junxian,weather-service,junxian_dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
ruige/web-crawler,ruige,web-crawler,ruige,NO,absent,E0,KEEP,KEEP,SR-2:canonical_wins_not_in_intermediate
jl/weekly-expense-tracker,jl,weekly-expense-tracker,jl_dev,NO,absent,E2,DROP,DROP,both_sources_agree
fan/wishlist-manager,fan,wishlist-manager,fan-dev,YES,KEEP,E3,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
wenshuo/workflow-automation,wenshuo,workflow-automation,wenshuo-dev,YES,KEEP,E1,DROP,DROP,SR-2:canonical_wins_over_intermediate_KEEP
