field,candidate_value,source_file,source_branch,source_repo,agrees_with_others,chosen,conflict_type,note
total_files_finalpool,385,kept_subset.json (full_scope_csv field),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,"Reference string: 'full_scope.csv (385 files, 77 tasks, verified by readback_audit.md)'"
total_files_finalpool,385,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Stated: 'The 385-file count in full_scope.csv + readback_audit.md confirms live branch integrity'
finalpool_commit_date,2026-04-09,readback_audit.md (Generated timestamp),finalpool,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Generated: 2026-04-09 10:12 UTC
finalpool_commit_date,2026-04-09,Issue #1 body,N/A,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,"Stated: 'canonical finalpool (bugmaker00/BenchTasksCollv3-review@finalpool, 2026-04-09)'"
finalpool_commit_date,2026-04-09,borderline_cases.md,boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,multi_source_agreement,Stated: 'canonical bugmaker00/BenchTasksCollv3-review@finalpool (committed 2026-04-09)'
finalpool_commit_sha,531b8ecc7c8d351a11f828fb88b6b34be91c5857,readback_audit.md (Live commit field),finalpool,bugmaker00/BenchTasksCollv3-review,yes,yes,single_source,Only source that records the exact commit SHA; no competing value
e3_task_verdict:review-aggregator,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:review-aggregator,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:wishlist-manager,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:wishlist-manager,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:comment-moderator,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:comment-moderator,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:thumbnail-creator,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:thumbnail-creator,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:url-shortener,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:url-shortener,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:lead-tracker,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:lead-tracker,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:document-parser,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:document-parser,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:code-reviewer,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:code-reviewer,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e3_task_verdict:markdown-converter,KEEP,mcpmark-eval-1031/BenchTasksCollv3 finalpool (intermediate snapshot 2026-03-23),finalpool,mcpmark-eval-1031/BenchTasksCollv3,no,no,snapshot_conflict,Task was present and implicitly KEPT in the earlier intermediate finalpool before editorial curation
e3_task_verdict:markdown-converter,DROP/E3,boundary_review.csv,boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,snapshot_conflict,Canonical review assigns DROP/E3 — editorial curation removed due to semantic overlap with kept task
e0_rule_description,Passes all inclusion criteria,boundary_review.csv (rule_label column),boundary-review,bugmaker00/BenchTasksCollv3-review,no,yes,label_interpretation,Short one-line label used per-row in the review CSV
e0_rule_description,E0: evaluation/main.py present AND all doc files at standard English-only template sizes AND task structure complete,kept_subset.json (inclusion_rule field),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,label_interpretation,Machine-readable full rule stored in structured JSON metadata
e0_rule_description,1. evaluation/main.py is present; 2. All docs/ files are at standard English-only template byte-sizes (no CJK overage); 3. No functionally equivalent task is already in the kept set,Issue #1 body (Inclusion boundary section),N/A,bugmaker00/BenchTasksCollv3-review,no,no,label_interpretation,Three-condition numbered list used in human-readable PR description
source_dev:fan,fan,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:fan,fan,boundary_review.csv (source_branch='fan-dev' — derived by -dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (-dev suffix strip); explicit field is preferred
source_dev:jl,jl,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:jl,jl,boundary_review.csv (source_branch='jl_dev' — derived by _dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (_dev suffix strip); explicit field is preferred
source_dev:gyy,gyy,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:gyy,gyy,boundary_review.csv (source_branch='gyy' — derived by no suffix — name equals branch),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (no suffix — name equals branch); explicit field is preferred
source_dev:lv,lv,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:lv,lv,boundary_review.csv (source_branch='lv' — derived by no suffix — name equals branch),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (no suffix — name equals branch); explicit field is preferred
source_dev:junteng,junteng,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:junteng,junteng,boundary_review.csv (source_branch='junteng_dev' — derived by _dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (_dev suffix strip); explicit field is preferred
source_dev:lueyang,lueyang,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:lueyang,lueyang,boundary_review.csv (source_branch='lueyang-dev' — derived by -dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (-dev suffix strip); explicit field is preferred
source_dev:xiaochen,xiaochen,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:xiaochen,xiaochen,boundary_review.csv (source_branch='xiaochen_dev' — derived by _dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (_dev suffix strip); explicit field is preferred
source_dev:yuxuan,yuxuan,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:yuxuan,yuxuan,boundary_review.csv (source_branch='yuxuan-dev' — derived by -dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (-dev suffix strip); explicit field is preferred
source_dev:yuzhen,yuzhen,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:yuzhen,yuzhen,boundary_review.csv (source_branch='yuzhen-dev' — derived by -dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (-dev suffix strip); explicit field is preferred
source_dev:ruige,ruige,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:ruige,ruige,boundary_review.csv (source_branch='ruige' — derived by no suffix — name equals branch),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (no suffix — name equals branch); explicit field is preferred
source_dev:wenshuo,wenshuo,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:wenshuo,wenshuo,boundary_review.csv (source_branch='wenshuo-dev' — derived by -dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (-dev suffix strip); explicit field is preferred
source_dev:haoze,haoze,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:haoze,haoze,boundary_review.csv (source_branch='haoze' — derived by no suffix — name equals branch),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (no suffix — name equals branch); explicit field is preferred
source_dev:junxian,junxian,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:junxian,junxian,boundary_review.csv (source_branch='junxian_dev' — derived by _dev suffix strip),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (_dev suffix strip); explicit field is preferred
source_dev:zhaochen,zhaochen,boundary_review.csv (source_dev column — explicit),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,yes,label_interpretation,Explicit field; unambiguous
source_dev:zhaochen,zhaochen,boundary_review.csv (source_branch='zhaochen' — derived by no suffix — name equals branch),boundary-review,bugmaker00/BenchTasksCollv3-review,yes,no,label_interpretation,Derived by stripping branch suffix; method varies (no suffix — name equals branch); explicit field is preferred
dev_task_count:fan,4,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:fan,8,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:gyy,6,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:gyy,9,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:haoze,4,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:haoze,7,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:jl,5,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:jl,7,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:junteng,8,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:junteng,10,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:junxian,3,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:junxian,8,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:lueyang,8,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:lueyang,10,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:lv,7,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:lv,9,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:ruige,6,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:ruige,8,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:wenshuo,4,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:wenshuo,7,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:xiaochen,7,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:xiaochen,10,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:yuxuan,5,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:yuxuan,7,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:yuzhen,6,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:yuzhen,9,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
dev_task_count:zhaochen,4,boundary_review.csv (KEEP rows only) + readback_audit.md + Issue #1,boundary-review / finalpool,bugmaker00/BenchTasksCollv3-review,no,yes,scope_interpretation,Kept-only count (E0 verdict): cited by Issue #1 and readback_audit as the contribution count
dev_task_count:zhaochen,7,boundary_review.csv (all rows for dev),boundary-review,bugmaker00/BenchTasksCollv3-review,no,no,scope_interpretation,Total submitted count (kept + all drops); alternative interpretation of 'contribution count'
